(1246, 535) (1491, 845) (1491, 535) (1736, 845)
(1248, 533) (1493, 843) (1493, 533) (1738, 843)
(1247, 536) (1492, 846) (1492, 536) (1737, 846)
(1245, 536) (1490, 846) (1490, 536) (1735, 846)
(1097, 422) (1342, 732) (1342, 422) (1587, 732)
(1096, 423) (1341, 733) (1341, 423) (1586, 733)
(1097, 423) (1342, 733) (1342, 423) (1587, 733)
(1098, 423) (1343, 733) (1343, 423) (1588, 733)
(1099, 422) (1344, 732) (1344, 422) (1589, 732)
(1095, 422) (1340, 732) (1340, 422) (1585, 732)
(1106, 428) (1351, 738) (1351, 428) (1596, 738)
(1103, 429) (1348, 739) (1348, 429) (1593, 739)
(1097, 427) (1342, 737) (1342, 427) (1587, 737)
(1100, 425) (1345, 735) (1345, 425) (1590, 735)
(1099, 426) (1344, 736) (1344, 426) (1589, 736)
(1099, 424) (1344, 734) (1344, 424) (1589, 734)
(1097, 424) (1342, 734) (1342, 424) (1587, 734)
(1101, 425) (1346, 735) (1346, 425) (1591, 735)
(1099, 424) (1344, 734) (1344, 424) (1589, 734)
(1098, 424) (1343, 734) (1343, 424) (1588, 734)
(1105, 427) (1350, 737) (1350, 427) (1595, 737)
(1098, 424) (1343, 734) (1343, 424) (1588, 734)
(1103, 424) (1348, 734) (1348, 424) (1593, 734)
(1101, 423) (1346, 733) (1346, 423) (1591, 733)
(1101, 424) (1346, 734) (1346, 424) (1591, 734)
(1101, 423) (1346, 733) (1346, 423) (1591, 733)
(1101, 423) (1346, 733) (1346, 423) (1591, 733)
(1098, 423) (1343, 733) (1343, 423) (1588, 733)
(1101, 423) (1346, 733) (1346, 423) (1591, 733)
(1101, 423) (1346, 733) (1346, 423) (1591, 733)
(1106, 425) (1351, 735) (1351, 425) (1596, 735)
(1107, 426) (1352, 736) (1352, 426) (1597, 736)
(1105, 426) (1350, 736) (1350, 426) (1595, 736)
(1103, 425) (1348, 735) (1348, 425) (1593, 735)
(1103, 426) (1348, 736) (1348, 426) (1593, 736)
(1105, 426) (1350, 736) (1350, 426) (1595, 736)
(1105, 425) (1350, 735) (1350, 425) (1595, 735)
(1107, 425) (1352, 735) (1352, 425) (1597, 735)
(1105, 425) (1350, 735) (1350, 425) (1595, 735)
(1105, 428) (1350, 738) (1350, 428) (1595, 738)
(1103, 428) (1348, 738) (1348, 428) (1593, 738)
(1104, 428) (1349, 738) (1349, 428) (1594, 738)
(1104, 427) (1349, 737) (1349, 427) (1594, 737)
(1103, 427) (1348, 737) (1348, 427) (1593, 737)
(1107, 426) (1352, 736) (1352, 426) (1597, 736)
(1105, 427) (1350, 737) (1350, 427) (1595, 737)
(1107, 427) (1352, 737) (1352, 427) (1597, 737)
(1107, 427) (1352, 737) (1352, 427) (1597, 737)
(1105, 426) (1350, 736) (1350, 426) (1595, 736)
(1103, 427) (1348, 737) (1348, 427) (1593, 737)
(1103, 426) (1348, 736) (1348, 426) (1593, 736)
(1105, 426) (1350, 736) (1350, 426) (1595, 736)
(1105, 425) (1350, 735) (1350, 425) (1595, 735)
(1103, 426) (1348, 736) (1348, 426) (1593, 736)
(1104, 426) (1349, 736) (1349, 426) (1594, 736)
(1102, 427) (1347, 737) (1347, 427) (1592, 737)
(1103, 424) (1348, 734) (1348, 424) (1593, 734)
(1105, 425) (1350, 735) (1350, 425) (1595, 735)
(1105, 425) (1350, 735) (1350, 425) (1595, 735)
(1103, 425) (1348, 735) (1348, 425) (1593, 735)
(1103, 425) (1348, 735) (1348, 425) (1593, 735)
(1103, 425) (1348, 735) (1348, 425) (1593, 735)
(1103, 425) (1348, 735) (1348, 425) (1593, 735)
(1103, 426) (1348, 736) (1348, 426) (1593, 736)
(1103, 426) (1348, 736) (1348, 426) (1593, 736)
(1101, 426) (1346, 736) (1346, 426) (1591, 736)
(1103, 428) (1348, 738) (1348, 428) (1593, 738)
(1097, 426) (1342, 736) (1342, 426) (1587, 736)
(1097, 426) (1342, 736) (1342, 426) (1587, 736)
(1096, 426) (1341, 736) (1341, 426) (1586, 736)
(1098, 427) (1343, 737) (1343, 427) (1588, 737)
(1097, 428) (1342, 738) (1342, 428) (1587, 738)
(1097, 427) (1342, 737) (1342, 427) (1587, 737)
(1097, 427) (1342, 737) (1342, 427) (1587, 737)
(1097, 426) (1342, 736) (1342, 426) (1587, 736)
(1099, 427) (1344, 737) (1344, 427) (1589, 737)
(1098, 420) (1343, 730) (1343, 420) (1588, 730)
(1093, 420) (1338, 730) (1338, 420) (1583, 730)
(1095, 420) (1340, 730) (1340, 420) (1585, 730)
(1094, 421) (1339, 731) (1339, 421) (1584, 731)
(1095, 421) (1340, 731) (1340, 421) (1585, 731)
(1094, 421) (1339, 731) (1339, 421) (1584, 731)
(1095, 420) (1340, 730) (1340, 420) (1585, 730)
(1094, 419) (1339, 729) (1339, 419) (1584, 729)
(1093, 420) (1338, 730) (1338, 420) (1583, 730)
(1093, 419) (1338, 729) (1338, 419) (1583, 729)
(1093, 419) (1338, 729) (1338, 419) (1583, 729)
(1093, 418) (1338, 728) (1338, 418) (1583, 728)
(1093, 418) (1338, 728) (1338, 418) (1583, 728)
(1093, 417) (1338, 727) (1338, 417) (1583, 727)
(1094, 417) (1339, 727) (1339, 417) (1584, 727)
(1091, 417) (1336, 727) (1336, 417) (1581, 727)
(1093, 417) (1338, 727) (1338, 417) (1583, 727)
(1094, 417) (1339, 727) (1339, 417) (1584, 727)
